Year,Student Name,School,Class,Subject,Prelim Result,PSLE Result
2024,Tan Wei Ling 889,CHIJ St Nicholas Girls’ School,P6-1,Chinese Language,55/100,50/100
2024,Deepa D/O Muthu 792,Ai Tong School,P6-2,Tamil Language,65/100,63/100
2022,Teo Wen Jie 194,St Joseph’s Institution Junior,P6-2,Foundation Chinese Language,52/100,49/100
2022,Nur Aisyah 804,Tao Nan School,P6-2,Malay Language,86/100,82/100
2022,Ainul Zafira 401,Gongshang Primary School,P6-1,Higher Malay Language,90/100,85/100
2022,Teo Wen Jie 676,Anglo-Chinese School (Primary),P6-2,Chinese Language,70/100,69/100
2024,Suresh S/O Raj 862,Yumin Primary School,P6-3,Foundation Tamil Language,53/100,48/100
2023,Sivakumar Raj 703,Pei Chun Public School,P6-2,Foundation Tamil Language,63/100,64/100
2023,Lakshmi D/O Kumar 836,Pei Chun Public School,P6-2,Foundation Tamil Language,62/100,59/100
2023,Chua Kai Wen 237,St Joseph’s Institution Junior,P6-2,Chinese Language,65/100,61/100
2024,Anand S/O Murugan 883,Pei Chun Public School,P6-2,Tamil Language,59/100,54/100
2023,Ahmad Hakim 788,Rosyth School,P6-1,Higher Malay Language,82/100,82/100
2022,Arunasarawasthy 374,Maris Stella Primary School,P6-1,Foundation Tamil Language,66/100,69/100
2022,Nurul Huda 245,Gongshang Primary School,P6-2,Foundation Malay Language,52/100,51/100
2024,Karthik S/O Ramesh 430,Ai Tong School,P6-1,Foundation Tamil Language,88/100,90/100
2023,Anand S/O Murugan 654,Catholic High School (Primary),P6-3,Foundation Tamil Language,95/100,95/100
2023,Ahmad Hakim 493,Tao Nan School,P6-2,Malay Language,87/100,89/100
2024,Deepa D/O Muthu 310,Temasek Primary School,P6-3,Tamil Language,60/100,56/100
2022,Ahmad Hakim 859,West Grove Primary School,P6-3,Malay Language,58/100,54/100
2024,Mohammad Firdaus 417,CHIJ St Nicholas Girls’ School,P6-3,Higher Malay Language,54/100,50/100
2022,Suresh S/O Raj 453,Maris Stella Primary School,P6-3,Tamil Language,76/100,74/100
2023,Deepa D/O Muthu 860,Nan Hua Primary School,P6-3,Tamil Language,85/100,88/100
2022,Muhd Irfan 510,Henry Park Primary School,P6-1,Malay Language,87/100,86/100
2023,Lakshmi D/O Kumar 654,Anglo-Chinese School (Primary),P6-3,Tamil Language,72/100,71/100
2024,Nur Aisyah 634,West Grove Primary School,P6-3,Malay Language,87/100,90/100
2023,Lim Jia Hao 148,Henry Park Primary School,P6-3,Higher Chinese Language,74/100,69/100
2023,Wong Yu Ting 679,Pei Hwa Presbyterian Primary School,P6-2,Higher Chinese Language,70/100,67/100
2024,Nurul Huda 871,Henry Park Primary School,P6-2,Higher Malay Language,88/100,88/100
2022,Lee Hui Min 329,CHIJ St Nicholas Girls’ School,P6-2,Higher Chinese Language,55/100,51/100
2024,Chen Qi En 641,Yumin Primary School,P6-3,Higher Chinese Language,88/100,89/100
2022,Nurul Huda 211,Red Swastika School,P6-2,Foundation Malay Language,94/100,99/100
2023,Mohammad Firdaus 405,Nan Hua Primary School,P6-3,Higher Malay Language,64/100,64/100
2024,Aqil Zulkarnain 226,Pei Chun Public School,P6-2,Foundation Malay Language,65/100,63/100
2024,Ong Shu Fen 988,West Grove Primary School,P6-2,Chinese Language,81/100,78/100
2024,Lee Hui Min 407,Anglo-Chinese School (Primary),P6-3,Higher Chinese Language,76/100,80/100
2022,Meena D/O Ravi 705,Tao Nan School,P6-1,Foundation Tamil Language,55/100,59/100
2022,Meena D/O Ravi 920,Anglo-Chinese School (Primary),P6-2,Foundation Tamil Language,61/100,56/100
2023,Anand S/O Murugan 439,Nanyang Primary School,P6-2,Tamil Language,55/100,58/100
2024,Chua Kai Wen 769,Tao Nan School,P6-2,Higher Chinese Language,72/100,70/100
2024,Nur Aisyah 270,St Joseph’s Institution Junior,P6-1,Foundation Malay Language,53/100,55/100
2023,Sivakumar Raj 623,Gongshang Primary School,P6-2,Tamil Language,92/100,87/100
2024,Meena D/O Ravi 316,Pei Hwa Presbyterian Primary School,P6-3,Higher Tamil Language,61/100,64/100
2024,Nurul Huda 400,Nan Hua Primary School,P6-1,Higher Malay Language,63/100,61/100
2024,Deepa D/O Muthu 520,Temasek Primary School,P6-3,Tamil Language,63/100,65/100
2022,Karthik S/O Ramesh 993,Maris Stella Primary School,P6-3,Higher Tamil Language,60/100,62/100
2023,Nur Aisyah 737,Henry Park Primary School,P6-2,Higher Malay Language,88/100,83/100
2022,Aqil Zulkarnain 442,Pei Chun Public School,P6-2,Higher Malay Language,87/100,86/100
2023,Lim Jia Hao 412,Catholic High School (Primary),P6-2,Foundation Chinese Language,78/100,81/100
2022,Chen Qi En 311,Henry Park Primary School,P6-2,Foundation Chinese Language,91/100,89/100
2022,Meena D/O Ravi 249,Maris Stella Primary School,P6-2,Higher Tamil Language,54/100,56/100
2022,Deepa D/O Muthu 678,Tao Nan School,P6-3,Tamil Language,85/100,90/100
2023,Lee Hui Min 921,West Grove Primary School,P6-3,Foundation Chinese Language,54/100,52/100
2024,Lakshmi D/O Kumar 868,St Joseph’s Institution Junior,P6-1,Tamil Language,54/100,57/100
2023,Lim Jia Hao 808,Catholic High School (Primary),P6-2,Chinese Language,74/100,77/100
2022,Ong Shu Fen 940,Nanyang Primary School,P6-3,Chinese Language,50/100,54/100
2024,Lakshmi D/O Kumar 941,Temasek Primary School,P6-1,Foundation Tamil Language,68/100,71/100
2022,Arunasarawasthy 601,Tao Nan School,P6-2,Higher Tamil Language,86/100,84/100
2024,Hafiz Bin Rahman 678,Nanyang Primary School,P6-2,Malay Language,59/100,55/100
2024,Anand S/O Murugan 936,Nanyang Primary School,P6-2,Higher Tamil Language,90/100,87/100
2022,Aqil Zulkarnain 903,Pei Chun Public School,P6-2,Foundation Malay Language,78/100,75/100
2023,Ong Shu Fen 871,Tao Nan School,P6-1,Foundation Chinese Language,54/100,54/100
2022,Ahmad Hakim 971,Gongshang Primary School,P6-2,Foundation Malay Language,75/100,80/100
2022,Deepa D/O Muthu 796,Yumin Primary School,P6-2,Higher Tamil Language,57/100,59/100
2023,Teo Wen Jie 672,Yumin Primary School,P6-1,Chinese Language,62/100,59/100
2024,Hafiz Bin Rahman 838,Ai Tong School,P6-1,Foundation Malay Language,53/100,52/100
2023,Ng Zi Xuan 654,Tao Nan School,P6-3,Chinese Language,69/100,72/100
2022,Arunasarawasthy 108,Pei Chun Public School,P6-2,Tamil Language,82/100,83/100
2022,Hafiz Bin Rahman 202,Anglo-Chinese School (Primary),P6-3,Higher Malay Language,87/100,85/100
2023,Lim Jia Hao 427,Catholic High School (Primary),P6-2,Higher Chinese Language,90/100,89/100
2023,Anand S/O Murugan 790,CHIJ St Nicholas Girls’ School,P6-2,Foundation Tamil Language,50/100,49/100
2023,Wong Yu Ting 515,West Grove Primary School,P6-3,Chinese Language,93/100,92/100
2023,Nurul Huda 943,Nan Hua Primary School,P6-1,Malay Language,84/100,80/100
2024,Imran Bin Azmi 454,Anglo-Chinese School (Primary),P6-1,Malay Language,64/100,65/100
2022,Goh Jun Wei 105,Ai Tong School,P6-1,Higher Chinese Language,66/100,62/100
2024,Ong Shu Fen 788,Maris Stella Primary School,P6-1,Higher Chinese Language,57/100,52/100
2022,Ng Zi Xuan 584,St Joseph’s Institution Junior,P6-2,Chinese Language,72/100,71/100
2022,Ahmad Hakim 855,Anglo-Chinese School (Primary),P6-1,Foundation Malay Language,95/100,95/100
2024,Ng Zi Xuan 371,CHIJ St Nicholas Girls’ School,P6-1,Foundation Chinese Language,81/100,82/100
2024,Muhd Irfan 966,Gongshang Primary School,P6-2,Higher Malay Language,66/100,61/100
2024,Muhd Irfan 611,Yumin Primary School,P6-2,Higher Malay Language,83/100,79/100
2024,Ong Shu Fen 915,Rosyth School,P6-2,Foundation Chinese Language,70/100,70/100
2023,Arunasarawasthy 768,Maris Stella Primary School,P6-3,Tamil Language,60/100,55/100
2024,Anand S/O Murugan 754,Gongshang Primary School,P6-3,Tamil Language,79/100,74/100
2024,Deepa D/O Muthu 931,West Grove Primary School,P6-2,Tamil Language,77/100,76/100
2022,Anand S/O Murugan 278,Nanyang Primary School,P6-1,Tamil Language,73/100,76/100
2024,Hafiz Bin Rahman 144,Tao Nan School,P6-2,Higher Malay Language,86/100,81/100
2023,Anand S/O Murugan 466,Nanyang Primary School,P6-1,Tamil Language,95/100,97/100
2024,Imran Bin Azmi 145,St Joseph’s Institution Junior,P6-1,Higher Malay Language,63/100,65/100
2024,Anand S/O Murugan 369,Maris Stella Primary School,P6-2,Tamil Language,80/100,77/100
2023,Chen Qi En 727,CHIJ St Nicholas Girls’ School,P6-3,Foundation Chinese Language,75/100,80/100
2024,Tan Wei Ling 918,Princess Elizabeth Primary School,P6-2,Foundation Chinese Language,80/100,76/100
2024,Chua Kai Wen 561,Rosyth School,P6-2,Foundation Chinese Language,68/100,71/100
2024,Mohammad Firdaus 688,West Grove Primary School,P6-2,Foundation Malay Language,63/100,59/100
2022,Goh Jun Wei 609,Raffles Girls' Primary School,P6-1,Higher Chinese Language,73/100,72/100
2024,Vignesh S/O Rajan 216,Raffles Girls' Primary School,P6-2,Tamil Language,57/100,52/100
2023,Aqil Zulkarnain 412,Henry Park Primary School,P6-3,Malay Language,50/100,46/100
2022,Chen Qi En 947,Maris Stella Primary School,P6-1,Foundation Chinese Language,79/100,74/100
2023,Karthik S/O Ramesh 870,Princess Elizabeth Primary School,P6-2,Tamil Language,50/100,49/100
2023,Wong Yu Ting 394,Yumin Primary School,P6-2,Chinese Language,60/100,63/100
2022,Lee Hui Min 513,West Grove Primary School,P6-2,Chinese Language,59/100,55/100
2022,Ahmad Hakim 569,Gongshang Primary School,P6-3,Malay Language,94/100,95/100
2024,Ahmad Hakim 615,St Joseph’s Institution Junior,P6-2,Higher Malay Language,85/100,80/100
2024,Hafiz Bin Rahman 391,Princess Elizabeth Primary School,P6-3,Higher Malay Language,50/100,50/100
2023,Deepa D/O Muthu 146,Raffles Girls' Primary School,P6-1,Tamil Language,68/100,64/100
2024,Lim Jia Hao 979,Yumin Primary School,P6-1,Chinese Language,71/100,76/100
2022,Imran Bin Azmi 128,Ai Tong School,P6-3,Higher Malay Language,57/100,52/100
2023,Meena D/O Ravi 350,Yumin Primary School,P6-3,Foundation Tamil Language,91/100,96/100
2022,Ong Shu Fen 786,Henry Park Primary School,P6-3,Higher Chinese Language,58/100,61/100
2023,Aqil Zulkarnain 903,Raffles Girls' Primary School,P6-2,Malay Language,74/100,75/100
2023,Lim Jia Hao 188,Pei Hwa Presbyterian Primary School,P6-2,Foundation Chinese Language,51/100,46/100
2024,Aqil Zulkarnain 320,Anglo-Chinese School (Primary),P6-1,Higher Malay Language,82/100,86/100
2024,Goh Jun Wei 314,St Joseph’s Institution Junior,P6-1,Foundation Chinese Language,93/100,96/100
2024,Goh Jun Wei 860,Pei Hwa Presbyterian Primary School,P6-1,Chinese Language,65/100,67/100
2024,Chen Qi En 319,St Joseph’s Institution Junior,P6-2,Foundation Chinese Language,84/100,88/100
2022,Tan Wei Ling 957,Maris Stella Primary School,P6-1,Foundation Chinese Language,64/100,62/100
2024,Siti Aminah 265,Catholic High School (Primary),P6-2,Higher Malay Language,77/100,76/100
2023,Muhd Irfan 909,Henry Park Primary School,P6-2,Foundation Malay Language,58/100,57/100
2023,Lakshmi D/O Kumar 812,Ai Tong School,P6-2,Foundation Tamil Language,92/100,88/100
2024,Ainul Zafira 779,Nanyang Primary School,P6-2,Foundation Malay Language,65/100,60/100
2024,Lee Hui Min 185,Pei Hwa Presbyterian Primary School,P6-1,Chinese Language,93/100,91/100
2024,Karthik S/O Ramesh 427,Tao Nan School,P6-1,Tamil Language,86/100,89/100
2022,Tan Wei Ling 781,Temasek Primary School,P6-1,Chinese Language,79/100,75/100
2024,Meena D/O Ravi 248,Nan Hua Primary School,P6-1,Higher Tamil Language,89/100,92/100
2024,Sivakumar Raj 548,Henry Park Primary School,P6-1,Foundation Tamil Language,65/100,66/100
2022,Ong Shu Fen 571,Red Swastika School,P6-1,Higher Chinese Language,92/100,87/100
2024,Ong Shu Fen 440,St Joseph’s Institution Junior,P6-1,Chinese Language,84/100,84/100
2023,Chen Qi En 792,Catholic High School (Primary),P6-3,Foundation Chinese Language,88/100,84/100
2023,Aqil Zulkarnain 860,Princess Elizabeth Primary School,P6-1,Foundation Malay Language,92/100,88/100
2022,Lee Hui Min 637,Maris Stella Primary School,P6-3,Foundation Chinese Language,61/100,59/100
2024,Anand S/O Murugan 938,Gongshang Primary School,P6-3,Higher Tamil Language,80/100,85/100
2024,Ainul Zafira 989,Pei Chun Public School,P6-2,Higher Malay Language,56/100,60/100
2022,Vignesh S/O Rajan 626,Pei Hwa Presbyterian Primary School,P6-1,Higher Tamil Language,93/100,94/100
2022,Anand S/O Murugan 660,Princess Elizabeth Primary School,P6-3,Higher Tamil Language,73/100,78/100
2022,Wong Yu Ting 153,Henry Park Primary School,P6-1,Higher Chinese Language,58/100,59/100
2023,Hafiz Bin Rahman 852,Nan Hua Primary School,P6-2,Foundation Malay Language,91/100,93/100
2024,Vignesh S/O Rajan 403,Pei Chun Public School,P6-2,Foundation Tamil Language,85/100,89/100
2024,Tan Wei Ling 810,Ai Tong School,P6-2,Chinese Language,65/100,65/100
2024,Muhd Irfan 639,Gongshang Primary School,P6-3,Foundation Malay Language,67/100,72/100
2024,Sivakumar Raj 390,Nan Hua Primary School,P6-1,Higher Tamil Language,55/100,57/100
2024,Tan Wei Ling 495,Ai Tong School,P6-2,Foundation Chinese Language,94/100,95/100
2022,Nur Aisyah 177,CHIJ St Nicholas Girls’ School,P6-1,Higher Malay Language,80/100,84/100
2024,Deepa D/O Muthu 758,West Grove Primary School,P6-2,Foundation Tamil Language,76/100,80/100
2024,Lim Jia Hao 356,Anglo-Chinese School (Primary),P6-3,Chinese Language,83/100,88/100
2023,Teo Wen Jie 325,West Grove Primary School,P6-1,Foundation Chinese Language,53/100,58/100
2023,Nur Aisyah 130,Anglo-Chinese School (Primary),P6-1,Foundation Malay Language,63/100,63/100
2023,Nur Aisyah 465,Henry Park Primary School,P6-2,Malay Language,75/100,71/100
2024,Hafiz Bin Rahman 205,West Grove Primary School,P6-3,Foundation Malay Language,69/100,64/100
2023,Anand S/O Murugan 552,CHIJ St Nicholas Girls’ School,P6-1,Higher Tamil Language,89/100,85/100
2024,Ng Zi Xuan 457,Nanyang Primary School,P6-1,Chinese Language,62/100,64/100
2023,Chua Kai Wen 869,Catholic High School (Primary),P6-1,Chinese Language,65/100,68/100
2024,Anand S/O Murugan 541,Yumin Primary School,P6-1,Higher Tamil Language,69/100,73/100
2023,Tan Wei Ling 157,Catholic High School (Primary),P6-3,Foundation Chinese Language,79/100,84/100
2024,Imran Bin Azmi 884,Pei Chun Public School,P6-2,Higher Malay Language,85/100,86/100
2024,Ong Shu Fen 706,Anglo-Chinese School (Primary),P6-3,Chinese Language,50/100,49/100
2024,Deepa D/O Muthu 421,Princess Elizabeth Primary School,P6-2,Higher Tamil Language,55/100,51/100
2024,Suresh S/O Raj 460,Nanyang Primary School,P6-1,Foundation Tamil Language,60/100,65/100
2022,Nurul Huda 162,CHIJ St Nicholas Girls’ School,P6-1,Higher Malay Language,83/100,86/100
2022,Lee Hui Min 626,Princess Elizabeth Primary School,P6-2,Chinese Language,66/100,67/100
2022,Priya D/O Kumar 759,Ai Tong School,P6-3,Foundation Tamil Language,74/100,69/100
2024,Teo Wen Jie 766,Pei Chun Public School,P6-2,Higher Chinese Language,70/100,65/100
2023,Sivakumar Raj 773,Nan Hua Primary School,P6-2,Higher Tamil Language,90/100,90/100
2022,Nur Aisyah 828,Temasek Primary School,P6-3,Malay Language,82/100,79/100
2023,Aqil Zulkarnain 493,Ai Tong School,P6-1,Malay Language,74/100,79/100
2024,Chen Qi En 549,Nan Hua Primary School,P6-2,Chinese Language,62/100,57/100
2023,Nur Aisyah 511,Raffles Girls' Primary School,P6-3,Malay Language,89/100,91/100
2023,Goh Jun Wei 926,Gongshang Primary School,P6-3,Higher Chinese Language,64/100,68/100
2022,Vignesh S/O Rajan 415,Nanyang Primary School,P6-1,Foundation Tamil Language,52/100,51/100
2023,Ong Shu Fen 254,Anglo-Chinese School (Primary),P6-1,Higher Chinese Language,87/100,87/100
2022,Vignesh S/O Rajan 918,Gongshang Primary School,P6-1,Foundation Tamil Language,86/100,81/100
2023,Mohammad Firdaus 751,Pei Chun Public School,P6-3,Higher Malay Language,79/100,74/100
2023,Chen Qi En 150,Nanyang Primary School,P6-1,Chinese Language,79/100,77/100
2024,Lee Hui Min 417,Pei Chun Public School,P6-2,Foundation Chinese Language,85/100,88/100
2024,Hafiz Bin Rahman 933,Henry Park Primary School,P6-2,Foundation Malay Language,61/100,64/100
2022,Sivakumar Raj 853,Nan Hua Primary School,P6-3,Foundation Tamil Language,56/100,60/100
2022,Nur Aisyah 748,Temasek Primary School,P6-2,Malay Language,79/100,83/100
2024,Ng Zi Xuan 567,Nanyang Primary School,P6-2,Higher Chinese Language,64/100,64/100
2024,Mohammad Firdaus 955,Tao Nan School,P6-3,Higher Malay Language,65/100,64/100
2022,Chua Kai Wen 467,Ai Tong School,P6-3,Foundation Chinese Language,78/100,81/100
2023,Goh Jun Wei 457,Tao Nan School,P6-3,Foundation Chinese Language,72/100,68/100
2024,Nurul Huda 417,Maris Stella Primary School,P6-1,Foundation Malay Language,84/100,88/100
2023,Nur Aisyah 870,St Joseph’s Institution Junior,P6-2,Malay Language,92/100,95/100
2023,Meena D/O Ravi 807,Raffles Girls' Primary School,P6-3,Foundation Tamil Language,84/100,80/100
2023,Imran Bin Azmi 200,St Joseph’s Institution Junior,P6-2,Foundation Malay Language,69/100,64/100
2024,Anand S/O Murugan 859,Temasek Primary School,P6-1,Tamil Language,73/100,69/100
2023,Chua Kai Wen 849,Yumin Primary School,P6-2,Foundation Chinese Language,56/100,54/100
2024,Vignesh S/O Rajan 358,West Grove Primary School,P6-1,Tamil Language,84/100,79/100
2022,Anand S/O Murugan 464,Maris Stella Primary School,P6-3,Foundation Tamil Language,72/100,71/100
2024,Deepa D/O Muthu 913,Red Swastika School,P6-3,Tamil Language,78/100,82/100
2022,Chua Kai Wen 411,Rosyth School,P6-2,Higher Chinese Language,66/100,61/100
2022,Suresh S/O Raj 327,Raffles Girls' Primary School,P6-3,Tamil Language,52/100,57/100
2023,Nurul Huda 656,Yumin Primary School,P6-3,Malay Language,77/100,77/100
2023,Priya D/O Kumar 433,Maris Stella Primary School,P6-1,Higher Tamil Language,77/100,80/100
2023,Muhd Irfan 987,Yumin Primary School,P6-1,Malay Language,89/100,85/100
2022,Nurul Huda 166,West Grove Primary School,P6-2,Malay Language,87/100,91/100
2022,Imran Bin Azmi 113,CHIJ St Nicholas Girls’ School,P6-1,Higher Malay Language,58/100,62/100
2022,Arunasarawasthy 148,Maris Stella Primary School,P6-3,Foundation Tamil Language,63/100,61/100
2022,Karthik S/O Ramesh 289,Anglo-Chinese School (Primary),P6-2,Higher Tamil Language,73/100,70/100
2024,Aqil Zulkarnain 456,Raffles Girls' Primary School,P6-3,Malay Language,57/100,58/100
2024,Aqil Zulkarnain 204,Gongshang Primary School,P6-2,Malay Language,70/100,74/100
2022,Deepa D/O Muthu 616,Temasek Primary School,P6-2,Higher Tamil Language,54/100,53/100
2024,Arunasarawasthy 692,Catholic High School (Primary),P6-3,Tamil Language,67/100,67/100
2024,Mohammad Firdaus 561,Pei Hwa Presbyterian Primary School,P6-3,Foundation Malay Language,65/100,63/100
2023,Sivakumar Raj 818,Tao Nan School,P6-3,Foundation Tamil Language,54/100,55/100
2022,Chen Qi En 753,Temasek Primary School,P6-3,Higher Chinese Language,77/100,75/100
2022,Priya D/O Kumar 741,Catholic High School (Primary),P6-3,Higher Tamil Language,90/100,85/100
2024,Hafiz Bin Rahman 603,Rosyth School,P6-3,Higher Malay Language,76/100,74/100
2023,Muhd Irfan 404,Rosyth School,P6-2,Higher Malay Language,51/100,51/100
2022,Meena D/O Ravi 204,West Grove Primary School,P6-2,Foundation Tamil Language,67/100,62/100
2023,Lakshmi D/O Kumar 745,Pei Chun Public School,P6-3,Tamil Language,89/100,93/100
2023,Tan Wei Ling 224,Ai Tong School,P6-2,Chinese Language,58/100,61/100
2023,Anand S/O Murugan 449,Princess Elizabeth Primary School,P6-2,Foundation Tamil Language,68/100,69/100
2024,Suresh S/O Raj 810,Raffles Girls' Primary School,P6-3,Foundation Tamil Language,53/100,58/100
2023,Karthik S/O Ramesh 162,Princess Elizabeth Primary School,P6-3,Tamil Language,67/100,71/100
2022,Sivakumar Raj 253,Ai Tong School,P6-2,Foundation Tamil Language,89/100,86/100
2022,Ng Zi Xuan 698,Ai Tong School,P6-1,Chinese Language,58/100,62/100
2022,Chua Kai Wen 831,Nanyang Primary School,P6-2,Higher Chinese Language,65/100,65/100
2022,Ng Zi Xuan 945,CHIJ St Nicholas Girls’ School,P6-1,Higher Chinese Language,76/100,73/100
2023,Ong Shu Fen 456,Temasek Primary School,P6-3,Foundation Chinese Language,93/100,89/100
2023,Imran Bin Azmi 275,Princess Elizabeth Primary School,P6-3,Higher Malay Language,77/100,80/100
2024,Siti Aminah 992,Rosyth School,P6-3,Foundation Malay Language,78/100,77/100
2022,Arunasarawasthy 250,Pei Hwa Presbyterian Primary School,P6-3,Foundation Tamil Language,54/100,50/100
2022,Nur Aisyah 391,Anglo-Chinese School (Primary),P6-3,Foundation Malay Language,50/100,49/100
2022,Nurul Huda 473,Pei Hwa Presbyterian Primary School,P6-3,Higher Malay Language,83/100,85/100
2023,Ong Shu Fen 224,Maris Stella Primary School,P6-3,Higher Chinese Language,81/100,84/100
