School,Student_ID,Name,Class,Gender,Date,Status,Reason,Absent
Gan Eng Seng School,S1123,Marcus Teo,Sec3-4,F,2023-09-10,Present,,0
Hougang Secondary School,S1124,Bella Tan,Sec5-3,M,2022-06-17,Present,,0
Yishun Town Secondary School,S1125,Lucas Tan,Sec4-4,F,2025-01-05,Present,,0
Anderson Secondary School,S1126,Bella Tan,Sec1-3,F,2022-01-25,Present,,0
Yishun Town Secondary School,S1127,Isaac Koh,Sec1-3,M,2022-09-09,Present,,0
Gan Eng Seng School,S1128,Ethan Ng,Sec5-4,F,2022-01-05,Present,,0
Peicai Secondary School,S1129,Ella Chua,Sec4-4,M,2024-05-16,Present,,0
Regent Secondary School,S1130,Isaac Koh,Sec5-2,F,2022-07-02,Present,,0
St. Andrew's Secondary School,S1131,Benjamin Lee,Sec1-4,F,2023-06-25,Absent,MC,1
Temasek Secondary School,S1132,Daniel Ong,Sec5-1,M,2025-02-15,Present,,0
Anglican High School,S1133,Jayden Ho,Sec3-1,F,2023-04-02,Absent,Family Matter,1
Springfield Secondary School,S1134,Charlotte Ng,Sec1-4,F,2024-08-06,Late,,0
Anglican High School,S1135,Grace Lim,Sec2-4,F,2025-09-13,Present,,0
Gan Eng Seng School,S1136,Daphne Lee,Sec5-3,F,2022-12-13,Present,,0
Victoria School,S1137,Hannah Ong,Sec3-1,F,2023-10-18,Present,,0
St. Patrick's School,S1138,Isabelle Ho,Sec1-2,M,2024-07-11,Absent,Family Matter,1
Victoria School,S1139,Marcus Teo,Sec4-1,M,2022-07-02,Present,,0
Yishun Town Secondary School,S1140,Jasmine Tan,Sec5-4,F,2022-02-13,Present,,0
St. Andrew's Secondary School,S1141,Daphne Lee,Sec5-4,M,2022-09-27,Absent,Truancy,1
St. Andrew's Secondary School,S1142,Jasmine Tan,Sec1-1,M,2022-10-13,Absent,Truancy,1
Kent Ridge Secondary School,S1143,Daniel Ong,Sec5-3,F,2025-03-19,Present,,0
Gan Eng Seng School,S1144,Faith Goh,Sec2-1,M,2022-02-13,Present,,0
Victoria School,S1145,Hannah Ong,Sec4-1,M,2022-06-20,Absent,Truancy,1
Anderson Secondary School,S1146,Daniel Ong,Sec5-1,F,2025-04-16,Present,,0
St. Andrew's Secondary School,S1147,Faith Goh,Sec1-3,M,2022-10-23,Absent,MC,1
Singapore Chinese Girls' School,S1148,Caleb Lim,Sec3-1,M,2024-05-10,Present,,0
Fairfield Methodist Secondary School,S1149,Ethan Ng,Sec5-2,M,2023-03-06,Present,,0
Regent Secondary School,S1150,Marcus Teo,Sec3-2,M,2025-05-23,Late,,0
St. Patrick's School,S1151,Isabelle Ho,Sec1-4,F,2022-09-22,Present,,0
Anderson Secondary School,S1152,Caleb Lim,Sec1-2,F,2024-01-21,Absent,Truancy,1
Holy Innocents' High School,S1153,Faith Goh,Sec3-4,M,2025-02-15,Present,,0
Nan Chiau High School,S1154,Lucas Tan,Sec1-1,F,2025-06-02,Present,,0
Gan Eng Seng School,S1155,Daphne Lee,Sec4-4,F,2024-02-04,Absent,MC,1
St. Andrew's Secondary School,S1156,Faith Goh,Sec1-3,M,2023-12-05,Present,,0
Fairfield Methodist Secondary School,S1157,Bella Tan,Sec3-4,F,2024-04-19,Absent,Truancy,1
Zhonghua Secondary School,S1158,Caleb Lim,Sec5-3,M,2022-07-04,Present,,0
Singapore Chinese Girls' School,S1159,Hannah Ong,Sec2-2,M,2025-03-24,Absent,Sick,1
Cedar Girls' Secondary School,S1160,Grace Lim,Sec4-3,M,2024-07-21,Absent,Truancy,1
Singapore Chinese Girls' School,S1161,Aaron Tan,Sec3-3,F,2022-10-05,Present,,0
Yishun Town Secondary School,S1162,Jayden Ho,Sec5-2,F,2025-03-03,Present,,0
Bedok Green Secondary School,S1163,Daphne Lee,Sec3-2,M,2022-06-26,Late,,0
Zhonghua Secondary School,S1164,Marcus Teo,Sec3-1,M,2022-07-11,Present,,0
Maris Stella High School,S1165,Faith Goh,Sec4-2,F,2022-07-15,Absent,MC,1
Nan Chiau High School,S1166,Daphne Lee,Sec2-3,M,2025-09-16,Present,,0
Springfield Secondary School,S1167,Hannah Ong,Sec2-2,F,2023-04-30,Present,,0
Kent Ridge Secondary School,S1168,Bella Tan,Sec1-4,F,2023-02-17,Present,,0
Fairfield Methodist Secondary School,S1169,Faith Goh,Sec2-2,F,2023-01-26,Absent,Truancy,1
Yishun Town Secondary School,S1170,Isaac Koh,Sec3-4,F,2022-12-20,Absent,MC,1
Nan Chiau High School,S1171,Daphne Lee,Sec5-2,F,2023-02-14,Present,,0
Gan Eng Seng School,S1172,Jasmine Tan,Sec5-1,M,2023-11-07,Present,,0
Compassvale Secondary School,S1173,Bella Tan,Sec5-4,M,2025-06-12,Present,,0
Gan Eng Seng School,S1174,Isabelle Ho,Sec4-4,M,2024-12-15,Absent,Sick,1
Compassvale Secondary School,S1175,Marcus Teo,Sec2-2,M,2023-01-17,Present,,0
CHIJ Katong Convent,S1176,Isabelle Ho,Sec4-3,M,2022-08-29,Present,,0
Victoria School,S1177,Adele Lim,Sec5-4,F,2025-01-28,Absent,MC,1
Jurong Secondary School,S1178,Daniel Ong,Sec5-4,F,2023-02-20,Present,,0
CHIJ Katong Convent,S1179,Charlotte Ng,Sec4-3,M,2025-01-12,Late,,0
Victoria School,S1180,Isabelle Ho,Sec1-3,M,2023-08-07,Absent,Family Matter,1
Presbyterian High School,S1181,Faith Goh,Sec1-1,M,2024-02-17,Absent,Family Matter,1
Presbyterian High School,S1182,Jayden Ho,Sec1-3,F,2024-11-07,Present,,0
Maris Stella High School,S1183,Adele Lim,Sec3-4,F,2022-05-08,Present,,0
Compassvale Secondary School,S1184,Jayden Ho,Sec5-2,M,2024-04-25,Present,,0
St. Andrew's Secondary School,S1185,Gabriel Chua,Sec5-1,F,2022-05-15,Present,,0
Fairfield Methodist Secondary School,S1186,Daniel Ong,Sec3-3,M,2025-10-07,Present,,0
Hougang Secondary School,S1187,Ethan Ng,Sec3-3,F,2022-09-04,Present,,0
CHIJ Katong Convent,S1188,Ella Chua,Sec4-3,M,2022-11-14,Present,,0
Maris Stella High School,S1189,Jayden Ho,Sec4-3,M,2023-03-23,Present,,0
Compassvale Secondary School,S1190,Gabriel Chua,Sec4-3,F,2022-10-02,Present,,0
Gan Eng Seng School,S1191,Faith Goh,Sec4-1,M,2022-02-09,Present,,0
CHIJ Katong Convent,S1192,Gabriel Chua,Sec4-1,M,2023-06-09,Absent,MC,1
Gan Eng Seng School,S1193,Jayden Ho,Sec2-1,M,2025-02-08,Present,,0
Yishun Town Secondary School,S1194,Ethan Ng,Sec4-2,F,2025-08-31,Present,,0
Fairfield Methodist Secondary School,S1195,Jayden Ho,Sec3-2,F,2023-05-05,Present,,0
Dunman High School,S1196,Lucas Tan,Sec3-2,M,2025-10-20,Absent,Truancy,1
Singapore Chinese Girls' School,S1197,Lucas Tan,Sec3-1,M,2022-05-08,Present,,0
St. Andrew's Secondary School,S1198,Jasmine Tan,Sec3-3,F,2022-11-19,Late,,0
Gan Eng Seng School,S1199,Hannah Ong,Sec2-3,M,2025-07-13,Present,,0
Holy Innocents' High School,S1200,Jayden Ho,Sec1-3,M,2025-01-09,Present,,0
Temasek Secondary School,S1201,Marcus Teo,Sec5-2,F,2023-11-27,Absent,Truancy,1
Singapore Chinese Girls' School,S1202,Benjamin Lee,Sec2-4,M,2022-01-06,Present,,0
Cedar Girls' Secondary School,S1203,Ethan Ng,Sec5-2,M,2024-11-08,Absent,Family Matter,1
Nan Chiau High School,S1204,Grace Lim,Sec2-2,M,2022-08-21,Present,,0
Compassvale Secondary School,S1205,Jayden Ho,Sec5-1,M,2025-08-16,Present,,0
Regent Secondary School,S1206,Charlotte Ng,Sec4-1,F,2022-03-05,Present,,0
Dunman High School,S1207,Isabelle Ho,Sec2-3,F,2024-11-22,Present,,0
Temasek Secondary School,S1208,Isaac Koh,Sec3-1,M,2022-05-14,Late,,0
Springfield Secondary School,S1209,Daniel Ong,Sec4-4,F,2024-11-02,Absent,Truancy,1
St. Patrick's School,S1210,Gabriel Chua,Sec2-4,F,2024-05-14,Present,,0
Nan Chiau High School,S1211,Bella Tan,Sec5-4,F,2022-08-24,Late,,0
Cedar Girls' Secondary School,S1212,Lucas Tan,Sec1-1,M,2024-07-17,Present,,0
Peicai Secondary School,S1213,Adele Lim,Sec1-4,F,2023-12-23,Present,,0
Victoria School,S1214,Hannah Ong,Sec4-3,M,2024-08-15,Present,,0
Springfield Secondary School,S1215,Hannah Ong,Sec2-2,F,2022-07-14,Present,,0
Fairfield Methodist Secondary School,S1216,Aaron Tan,Sec2-2,M,2024-05-10,Present,,0
Dunman High School,S1217,Daphne Lee,Sec2-2,F,2023-10-21,Present,,0
Cedar Girls' Secondary School,S1218,Benjamin Lee,Sec5-1,M,2024-12-04,Late,,0
Clementi Town Secondary School,S1219,Caleb Lim,Sec3-1,F,2024-04-14,Present,,0
Compassvale Secondary School,S1220,Adele Lim,Sec5-3,F,2022-04-01,Present,,0
Yishun Town Secondary School,S1221,Hannah Ong,Sec4-1,F,2022-06-27,Late,,0
Fairfield Methodist Secondary School,S1222,Faith Goh,Sec2-2,M,2022-02-04,Present,,0
Holy Innocents' High School,S1223,Grace Lim,Sec2-4,F,2025-08-20,Present,,0
Nan Chiau High School,S1224,Daphne Lee,Sec3-3,F,2022-05-20,Present,,0
Temasek Secondary School,S1225,Isabelle Ho,Sec2-2,F,2024-03-08,Absent,Truancy,1
Compassvale Secondary School,S1226,Marcus Teo,Sec3-1,F,2023-10-01,Late,,0
Dunman High School,S1227,Grace Lim,Sec1-4,M,2024-01-04,Present,,0
Compassvale Secondary School,S1228,Marcus Teo,Sec3-4,M,2022-08-30,Present,,0
Presbyterian High School,S1229,Hannah Ong,Sec4-2,F,2024-12-15,Absent,Medical Leave,1
Fairfield Methodist Secondary School,S1230,Ella Chua,Sec5-3,F,2024-07-17,Present,,0
St. Patrick's School,S1231,Grace Lim,Sec1-2,M,2025-06-24,Present,,0
Holy Innocents' High School,S1232,Ella Chua,Sec2-1,M,2023-12-25,Present,,0
Clementi Town Secondary School,S1233,Bella Tan,Sec1-1,M,2022-11-12,Absent,MC,1
Victoria School,S1234,Aaron Tan,Sec4-3,M,2023-08-01,Late,,0
Nan Chiau High School,S1235,Jayden Ho,Sec5-3,M,2024-10-03,Absent,Family Matter,1
Presbyterian High School,S1236,Ella Chua,Sec3-1,F,2022-07-22,Present,,0
Bedok Green Secondary School,S1237,Ella Chua,Sec2-2,F,2024-01-28,Present,,0
Temasek Secondary School,S1238,Hannah Ong,Sec3-1,M,2022-02-11,Present,,0
Nan Chiau High School,S1239,Lucas Tan,Sec2-4,F,2023-09-25,Absent,Medical Leave,1
Temasek Secondary School,S1240,Bella Tan,Sec5-4,M,2022-10-12,Present,,0
Compassvale Secondary School,S1241,Jasmine Tan,Sec2-2,M,2024-11-27,Present,,0
Peicai Secondary School,S1242,Ella Chua,Sec4-1,F,2022-06-02,Absent,Medical Leave,1
Dunman High School,S1243,Gabriel Chua,Sec2-2,F,2023-10-12,Present,,0
Temasek Secondary School,S1244,Adele Lim,Sec2-2,F,2023-12-14,Absent,Unknown,1
Nan Chiau High School,S1245,Bella Tan,Sec3-2,M,2023-09-29,Absent,Truancy,1
Compassvale Secondary School,S1246,Jasmine Tan,Sec1-2,F,2022-10-03,Present,,0
Maris Stella High School,S1247,Benjamin Lee,Sec1-2,F,2022-09-10,Present,,0
Hougang Secondary School,S1248,Ella Chua,Sec5-3,F,2024-11-24,Present,,0
Holy Innocents' High School,S1249,Daniel Ong,Sec4-2,F,2022-01-29,Absent,Truancy,1
St. Patrick's School,S1250,Isaac Koh,Sec4-3,F,2023-12-18,Absent,Truancy,1
Bedok Green Secondary School,S1251,Jasmine Tan,Sec5-4,M,2022-03-30,Present,,0
Cedar Girls' Secondary School,S1252,Jasmine Tan,Sec2-1,M,2024-03-31,Present,,0
Peicai Secondary School,S1253,Lucas Tan,Sec5-4,F,2024-12-27,Present,,0
Singapore Chinese Girls' School,S1254,Adele Lim,Sec2-2,F,2022-02-18,Present,,0
Peicai Secondary School,S1255,Aaron Tan,Sec5-1,M,2022-07-21,Present,,0
CHIJ Katong Convent,S1256,Grace Lim,Sec4-2,M,2022-06-02,Present,,0
Maris Stella High School,S1257,Gabriel Chua,Sec1-4,F,2025-07-23,Present,,0
Anglican High School,S1258,Aaron Tan,Sec1-1,M,2022-11-15,Absent,Truancy,1
Clementi Town Secondary School,S1259,Caleb Lim,Sec5-2,M,2024-08-13,Present,,0
Singapore Chinese Girls' School,S1260,Ella Chua,Sec5-4,F,2024-12-13,Absent,Truancy,1
Cedar Girls' Secondary School,S1261,Hannah Ong,Sec4-2,F,2023-11-08,Present,,0
Gan Eng Seng School,S1262,Daniel Ong,Sec5-2,M,2022-02-04,Absent,Truancy,1
Anderson Secondary School,S1263,Aaron Tan,Sec1-4,F,2025-08-24,Absent,MC,1
Springfield Secondary School,S1264,Bella Tan,Sec3-2,M,2023-05-03,Present,,0
Dunman High School,S1265,Daniel Ong,Sec5-3,M,2023-11-19,Present,,0
Temasek Secondary School,S1266,Charlotte Ng,Sec5-4,F,2025-01-27,Present,,0
St. Andrew's Secondary School,S1267,Benjamin Lee,Sec3-1,M,2024-08-07,Absent,Family Matter,1
Zhonghua Secondary School,S1268,Lucas Tan,Sec1-1,M,2023-08-04,Present,,0
Jurong Secondary School,S1269,Faith Goh,Sec5-4,F,2023-06-08,Present,,0
Maris Stella High School,S1270,Adele Lim,Sec1-4,M,2024-12-01,Present,,0
Bedok Green Secondary School,S1271,Ella Chua,Sec4-1,M,2025-10-05,Present,,0
Cedar Girls' Secondary School,S1272,Faith Goh,Sec5-1,F,2024-07-13,Absent,Truancy,1
Bedok Green Secondary School,S1273,Lucas Tan,Sec3-1,M,2024-05-01,Absent,Truancy,1
Anderson Secondary School,S1274,Caleb Lim,Sec2-2,F,2022-08-31,Present,,0
Peicai Secondary School,S1275,Caleb Lim,Sec2-2,F,2025-07-19,Absent,MC,1
Anglican High School,S1276,Faith Goh,Sec5-1,M,2022-12-23,Late,,0
Yishun Town Secondary School,S1277,Isaac Koh,Sec1-4,M,2023-08-09,Present,,0
Bukit Merah Secondary School,S1278,Jayden Ho,Sec4-2,M,2023-06-05,Present,,0
Bedok Green Secondary School,S1279,Hannah Ong,Sec5-3,F,2025-04-29,Present,,0
Cedar Girls' Secondary School,S1280,Caleb Lim,Sec3-2,M,2025-02-04,Present,,0
Presbyterian High School,S1281,Faith Goh,Sec1-2,M,2024-09-22,Present,,0
Temasek Secondary School,S1282,Daphne Lee,Sec4-4,F,2022-05-01,Absent,Medical Leave,1
Presbyterian High School,S1283,Hannah Ong,Sec4-1,F,2023-10-21,Present,,0
Temasek Secondary School,S1284,Jasmine Tan,Sec4-3,F,2022-11-09,Present,,0
Victoria School,S1285,Jayden Ho,Sec4-3,F,2022-10-27,Present,,0
Victoria School,S1286,Lucas Tan,Sec2-3,M,2023-01-11,Present,,0
Presbyterian High School,S1287,Faith Goh,Sec4-2,F,2022-01-08,Present,,0
Holy Innocents' High School,S1288,Isaac Koh,Sec3-1,F,2022-02-05,Present,,0
Compassvale Secondary School,S1289,Adele Lim,Sec5-4,F,2024-10-24,Absent,Sick,1
Dunman High School,S1290,Isaac Koh,Sec5-2,F,2025-04-26,Absent,Sick,1
Zhonghua Secondary School,S1291,Daphne Lee,Sec2-2,F,2024-05-18,Present,,0
Anderson Secondary School,S1292,Daphne Lee,Sec2-2,F,2022-02-28,Present,,0
Anglican High School,S1293,Marcus Teo,Sec1-3,M,2024-05-25,Present,,0
Fairfield Methodist Secondary School,S1294,Aaron Tan,Sec3-1,M,2024-02-10,Present,,0
CHIJ Katong Convent,S1295,Daniel Ong,Sec2-3,F,2022-01-16,Absent,Other,1
Jurong Secondary School,S1296,Daphne Lee,Sec3-2,F,2022-03-08,Present,,0
St. Patrick's School,S1297,Jasmine Tan,Sec1-3,M,2022-10-14,Present,,0
Victoria School,S1298,Faith Goh,Sec2-2,M,2023-02-03,Absent,Truancy,1
Maris Stella High School,S1299,Isaac Koh,Sec5-2,F,2025-07-16,Present,,0
Bukit Merah Secondary School,S1300,Daniel Ong,Sec3-4,M,2025-01-07,Present,,0
Clementi Town Secondary School,S1301,Grace Lim,Sec5-2,F,2025-08-29,Absent,Truancy,1
Hougang Secondary School,S1302,Benjamin Lee,Sec4-2,F,2023-06-17,Present,,0
Cedar Girls' Secondary School,S1303,Hannah Ong,Sec4-1,M,2023-10-29,Present,,0
